"DELTA_ROBOT"

"Time      "	"TORQUE_M1.Q"	"TORQUE_M2.Q"	"TORQUE_M3.Q"
0.000000e+00	-3.131142e+04	7.577807e+03	8.375515e+04
4.000000e-04	-3.130637e+04	7.584787e+03	8.375864e+04
8.000000e-04	-3.129855e+04	7.595765e+03	8.376391e+04
1.200000e-03	-3.131420e+04	7.572974e+03	8.375321e+04
1.600000e-03	-4.916861e+04	4.827911e+03	1.114183e+05
2.000000e-03	-1.939287e+04	9.439258e+03	6.531791e+04
2.400000e-03	-3.332180e+04	7.237212e+03	8.680920e+04
2.800000e-03	-3.132888e+04	7.553898e+03	8.373942e+04
3.200000e-03	-3.129172e+04	7.610963e+03	8.376158e+04
3.600000e-03	-3.139714e+04	7.447827e+03	8.369920e+04
4.000000e-03	-3.128639e+04	7.623226e+03	8.376294e+04
4.400000e-03	-3.138436e+04	7.474636e+03	8.370391e+04
4.800000e-03	-3.138653e+04	7.477155e+03	8.370092e+04
5.200000e-03	-3.131117e+04	7.597792e+03	8.374297e+04
5.600000e-03	-3.149338e+04	7.311835e+03	8.363084e+04
6.000000e-03	-3.131050e+04	7.591716e+03	8.373871e+04
6.400000e-03	-3.145483e+04	7.369538e+03	8.364981e+04
6.800000e-03	-3.146440e+04	7.367771e+03	8.364153e+04
7.200000e-03	-3.135046e+04	7.552748e+03	8.370729e+04
7.600000e-03	-3.160863e+04	7.149808e+03	8.355223e+04
8.000000e-03	-3.136140e+04	7.531067e+03	8.369921e+04
8.400000e-03	-3.155103e+04	7.236539e+03	8.358033e+04
8.800000e-03	-3.156190e+04	7.229717e+03	8.356822e+04
9.200000e-03	-3.140844e+04	7.476550e+03	8.365679e+04
9.600000e-03	-3.174428e+04	6.952025e+03	8.344781e+04
1.000000e-02	-3.143455e+04	7.438523e+03	8.363822e+04
1.040000e-02	-3.167156e+04	7.071667e+03	8.348786e+04
1.080000e-02	-3.168555e+04	7.057391e+03	8.347589e+04
1.120000e-02	-3.149211e+04	7.366084e+03	8.359191e+04
1.160000e-02	-3.190064e+04	6.729367e+03	8.332985e+04
1.200000e-02	-3.152898e+04	7.319467e+03	8.355838e+04
