"DELTA_ROBOT"

"Time      "	"TORQUE_M1.Q"	"TORQUE_M2.Q"	"TORQUE_M3.Q"
0.000000e+00	8.529510e+03	1.045553e+04	2.761244e+04
3.694235e-03	8.529589e+03	1.045208e+04	2.761170e+04
7.388469e-03	8.525673e+03	1.044704e+04	2.761522e+04
1.108270e-02	8.517405e+03	1.043824e+04	2.762020e+04
1.477694e-02	5.580281e+03	8.293371e+03	3.494732e+04
1.847117e-02	1.043965e+04	1.182663e+04	2.276130e+04
2.216541e-02	1.117091e+04	1.235298e+04	2.092892e+04
2.585964e-02	2.257961e+04	2.067470e+04	-7.399606e+03
2.955388e-02	1.569488e+04	1.566034e+04	9.736679e+03
3.324811e-02	1.614102e+04	1.598749e+04	8.648627e+03
3.694235e-02	1.630872e+04	1.611231e+04	8.257203e+03
4.063658e-02	1.630801e+04	1.611431e+04	8.282520e+03
4.433082e-02	1.630730e+04	1.611630e+04	8.307817e+03
4.802505e-02	1.637835e+04	1.616132e+04	8.341352e+03
5.171928e-02	1.640392e+04	1.617894e+04	8.369959e+03
5.541352e-02	1.636162e+04	1.615589e+04	8.390639e+03
5.910775e-02	1.636906e+04	1.616269e+04	8.417009e+03
6.280199e-02	1.636823e+04	1.616453e+04	8.442411e+03
6.649622e-02	1.636739e+04	1.616635e+04	8.467791e+03
7.019046e-02	1.637023e+04	1.617057e+04	8.492697e+03
7.388469e-02	1.640656e+04	1.619625e+04	8.515173e+03
7.757893e-02	1.640277e+04	1.619538e+04	8.544562e+03
8.127316e-02	1.640645e+04	1.619971e+04	8.571400e+03
8.496740e-02	1.641332e+04	1.620609e+04	8.597970e+03
8.866163e-02	1.641935e+04	1.621191e+04	8.624648e+03
9.235587e-02	1.642538e+04	1.621774e+04	8.651301e+03
9.605010e-02	1.643481e+04	1.622658e+04	8.673534e+03
9.974433e-02	1.644554e+04	1.623657e+04	8.694114e+03
1.034386e-01	1.644748e+04	1.623878e+04	8.725941e+03
1.071328e-01	1.645413e+04	1.624516e+04	8.751687e+03
1.108270e-01	1.646015e+04	1.625099e+04	8.778197e+03
1.145213e-01	1.646615e+04	1.625680e+04	8.804710e+03
